level,model_id,window_start,MAE,RMSE,WAPE,actual_sum,prediction_sum,n_units
store,calendar_ridge,2022-03-15,64.91073893146873,77.3958425399607,0.3906923237491669,1163.0,1521.0436828608285,7.0
store,calendar_ridge,2022-03-22,50.7051869804996,71.35054274933432,0.28927164536552336,1227.0,1515.086090544505,7.0
store,calendar_ridge,2022-03-25,50.07988985729977,64.10688566201054,0.27049323225393396,1296.0,1512.1901828166933,7.0
store,historical_mean_28,2022-03-01,39.785714285714285,59.30505278401062,0.2346251053074979,1187.0,951.0,7.0
store,historical_mean_28,2022-03-08,73.53571428571429,92.16217267094223,0.346866576819407,1484.0,979.25,7.0
store,historical_mean_28,2022-03-15,32.82142857142857,38.22104412866967,0.19754944110060188,1163.0,1148.25,7.0
store,historical_mean_28,2022-03-22,33.0,47.62258617804911,0.1882640586797066,1227.0,1223.5,7.0
store,historical_mean_28,2022-03-25,28.71428571428571,46.57770005976189,0.15509259259259256,1296.0,1254.0,7.0
store,lag_random_forest,2022-03-01,22.996002337710156,26.49438868409795,0.13561248219374142,1187.0,1210.339022483926,7.0
store,lag_random_forest,2022-03-08,46.349723233252334,63.648548113626376,0.21863076996817138,1484.0,1259.8639553680832,7.0
store,lag_random_forest,2022-03-15,54.43726308406439,69.0519038374288,0.32765334616375813,1163.0,1540.240229544963,7.0
store,lag_random_forest,2022-03-22,49.61922757606849,66.52849738232977,0.283076277940081,1227.0,1423.8682562585298,7.0
store,lag_random_forest,2022-03-25,42.34440645081621,51.31511640108009,0.22871207187940854,1296.0,1402.8410351558127,7.0
store,lag_ridge,2022-03-01,43.40079195569363,59.37589379225024,0.2559440132180753,1187.0,1359.2342639138542,7.0
store,lag_ridge,2022-03-08,58.98696708248913,81.2444400780973,0.27824041076645817,1484.0,1366.532910162649,7.0
store,lag_ridge,2022-03-15,47.66541861935893,62.74866481121091,0.2868941791362962,1163.0,1403.1599514212992,7.0
store,lag_ridge,2022-03-22,54.40524996895234,62.19933420889565,0.3103803991708773,1227.0,1369.370466349439,7.0
store,lag_ridge,2022-03-25,47.2675591034489,61.92211340489311,0.2553031741698629,1296.0,1354.6329705228657,7.0
store,seasonal_naive_7,2022-03-01,27.0,37.36499507751683,0.15922493681550126,1187.0,1060.0,7.0
store,seasonal_naive_7,2022-03-08,60.142857142857146,77.55827302284209,0.28369272237196763,1484.0,1187.0,7.0
store,seasonal_naive_7,2022-03-15,48.142857142857146,63.75287108380745,0.2897678417884781,1163.0,1484.0,7.0
store,seasonal_naive_7,2022-03-22,31.428571428571427,42.11548748043035,0.17929910350448247,1227.0,1163.0,7.0
store,seasonal_naive_7,2022-03-25,34.142857142857146,43.400131665369734,0.18441358024691357,1296.0,1169.0,7.0
store,stage2_best,2022-03-01,26.999999999999993,37.364995077516824,0.1592249368155012,1187.0,1060.0,7.0
