store_id,store_name,product_id,product_name,category,model,model_label,predicted_7day_sales
69,B地江山店店,11002561,乡吧哥蜜汁鸡翅,包装散称,exp_smoothing,问题一门店-商品指数平滑,167.93528311455853
69,B地江山店店,12000292,红牛,功能饮料,exp_smoothing,问题一门店-商品指数平滑,51.8106257908407
69,B地江山店店,12000134,百事可乐600ml,碳酸饮料,exp_smoothing,问题一门店-商品指数平滑,37.37633798663543
69,B地江山店店,11000405,百事可乐330ml,碳酸饮料,exp_smoothing,问题一门店-商品指数平滑,31.454494988437702
69,B地江山店店,12001131,旺仔牛奶,乳类饮品,exp_smoothing,问题一门店-商品指数平滑,13.941733005829736
69,B地江山店店,11008516,李子柒螺蛳粉335g,速食类,exp_smoothing,问题一门店-商品指数平滑,13.561729298260195
69,B地江山店店,11005780,大丰古法瓜子,包装坚果,exp_smoothing,问题一门店-商品指数平滑,12.824017061705563
69,B地江山店店,11002170,三养辣火鸡味拌面,速食类,exp_smoothing,问题一门店-商品指数平滑,3.667909387112146
69,B地江山店店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,exp_smoothing,问题一门店-商品指数平滑,2.3871428449524186
69,B地江山店店,11002605,老板仔香脆海苔卷（原味）,包装海苔,exp_smoothing,问题一门店-商品指数平滑,1.0986291769303866
69,B地江山店店,11008644,洽洽早餐每日坚果（燕麦片）,包装冲饮,exp_smoothing,问题一门店-商品指数平滑,8.85842998e-315
178,C地五乡镇店,12000292,红牛,功能饮料,exp_smoothing,问题一门店-商品指数平滑,97.88246375345668
178,C地五乡镇店,11002561,乡吧哥蜜汁鸡翅,包装散称,exp_smoothing,问题一门店-商品指数平滑,60.1230211267267
178,C地五乡镇店,12000134,百事可乐600ml,碳酸饮料,exp_smoothing,问题一门店-商品指数平滑,33.04935163198276
178,C地五乡镇店,11000405,百事可乐330ml,碳酸饮料,exp_smoothing,问题一门店-商品指数平滑,32.48000010829138
178,C地五乡镇店,12001131,旺仔牛奶,乳类饮品,exp_smoothing,问题一门店-商品指数平滑,30.950276862681104
178,C地五乡镇店,11008516,李子柒螺蛳粉335g,速食类,exp_smoothing,问题一门店-商品指数平滑,19.47224348559048
178,C地五乡镇店,11002170,三养辣火鸡味拌面,速食类,exp_smoothing,问题一门店-商品指数平滑,8.032215051983343
178,C地五乡镇店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,exp_smoothing,问题一门店-商品指数平滑,6.270928193223393
178,C地五乡镇店,11005780,大丰古法瓜子,包装坚果,exp_smoothing,问题一门店-商品指数平滑,6.11163135623212
178,C地五乡镇店,11004973,特仑苏纯牛奶,乳类饮品,exp_smoothing,问题一门店-商品指数平滑,2.1057068447411664
178,C地五乡镇店,11002605,老板仔香脆海苔卷（原味）,包装海苔,exp_smoothing,问题一门店-商品指数平滑,1.8047486504167876e-06
276,A地双桥路店,12000292,红牛,功能饮料,exp_smoothing,问题一门店-商品指数平滑,7.055731239041569
276,A地双桥路店,12000134,百事可乐600ml,碳酸饮料,exp_smoothing,问题一门店-商品指数平滑,3.0298340056240898
276,A地双桥路店,11002561,乡吧哥蜜汁鸡翅,包装散称,exp_smoothing,问题一门店-商品指数平滑,2.2818162858429343
276,A地双桥路店,11000405,百事可乐330ml,碳酸饮料,exp_smoothing,问题一门店-商品指数平滑,1.8823381718854832
276,A地双桥路店,11002170,三养辣火鸡味拌面,速食类,exp_smoothing,问题一门店-商品指数平滑,0.9235865753396223
276,A地双桥路店,11002605,老板仔香脆海苔卷（原味）,包装海苔,exp_smoothing,问题一门店-商品指数平滑,0.722524959961949
276,A地双桥路店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,exp_smoothing,问题一门店-商品指数平滑,0.5444902662743891
276,A地双桥路店,12001131,旺仔牛奶,乳类饮品,exp_smoothing,问题一门店-商品指数平滑,0.43638507421680756
276,A地双桥路店,11005780,大丰古法瓜子,包装坚果,exp_smoothing,问题一门店-商品指数平滑,6.300000000000594e-25
276,A地双桥路店,11008516,李子柒螺蛳粉335g,速食类,exp_smoothing,问题一门店-商品指数平滑,6.300025830629749e-177
