validation_mode,validation_start,validation_end,level,model,model_label,feature_scope,MAE,RMSE,WAPE,WAPE_pct,actual_sum,prediction_sum,bias,bias_pct_of_actual,n,WAPE_pct_point_change_vs_full,WAPE_pct_point_change_vs_q1
strict_recursive_7day,2022-03-01,2022-03-28,product,ridge_history_calendar,历史日历Ridge,历史滞后/滚动 + 星期/月/周末 + 门店/商品/类别,6.073620006407015,11.433761982476607,0.4032278842427894,40.32278842427894,5061.0,5110.880845818776,49.880845818775924,0.009855926856110635,336,-36.361072108288624,-36.02335225119961
strict_recursive_7day,2022-03-01,2022-03-28,product,ridge_no_event,去节假日活动Ridge,去除节假日和活动日，保留历史、日历、天气和门店/商品/类别,6.083942742361598,11.56381988344457,0.4039132111111434,40.391321111114344,5061.0,4899.825211603118,-161.17478839688192,-0.03184643121851056,336,-36.29253942145322,-35.95481956436421
strict_recursive_7day,2022-03-01,2022-03-28,product,ridge_no_activity,去活动日Ridge,去除活动日，保留历史、日历、节假日、天气和门店/商品/类别,6.100315558309557,11.56194779386481,0.4050002030412984,40.50002030412984,5061.0,4938.967999952362,-122.03200004763767,-0.024112230793842653,336,-36.183840228437724,-35.84612037134871
strict_recursive_7day,2022-03-01,2022-03-28,product,ridge_history_id_category,仅历史与层级Ridge,仅使用历史滞后/滚动特征和门店/商品/类别,6.116715932572968,11.486965358633187,0.4060890245691597,40.60890245691597,5061.0,5127.57185572086,66.57185572086019,0.013153893641742775,336,-36.074958075651594,-35.73723821856258
strict_recursive_7day,2022-03-01,2022-03-28,product,ridge_no_history,无销量历史Ridge,不使用 lag/rolling，仅使用日历、外部变量和门店/商品/类别,6.713817198169956,12.911638830778994,0.44573060236812984,44.573060236812985,5061.0,3605.4063088686153,-1455.5936911313847,-0.28760989747705684,336,-32.11080029575458,-31.773080438665566
strict_recursive_7day,2022-03-01,2022-03-28,store,ridge_no_weather,去天气Ridge,去除天气、温度、风力，保留历史、日历、节假日/活动日和门店/商品/类别,9.471490157298685,14.25189859281118,0.3668073643213875,36.68073643213875,5061.0,5186.9449431788,125.9449431787998,0.024885386915392178,196,-40.00312410042881,-39.6654042433398
strict_recursive_7day,2022-03-01,2022-03-28,store,ridge_full_external,完整综合Ridge,历史滞后 + 日历 + 节假日/活动日 + 天气 + 门店/商品/类别,9.52705500085687,14.447078843659094,0.3689592531452177,36.89592531452177,5061.0,5018.373403211319,-42.62659678868113,-0.008422564076008917,196,-39.787935218045796,-39.45021536095678
strict_recursive_7day,2022-03-01,2022-03-28,store,q1_store_product_exp_smoothing,问题一门店-商品简单指数平滑,仅使用该门店-商品自身历史销量，不使用外部变量,9.810171153182491,15.963126120538085,0.3799236407871504,37.99236407871504,5061.0,4732.861663534109,-328.13833646589137,-0.06483666004068195,196,-38.69149645385252,-38.35377659676351
strict_recursive_7day,2022-03-01,2022-03-28,store,ridge_history_calendar,历史日历Ridge,历史滞后/滚动 + 星期/月/周末 + 门店/商品/类别,9.997397919255178,15.551214456549145,0.38717446990199855,38.71744699019985,5061.0,5110.880845818776,49.880845818775924,0.009855926856110635,196,-37.96641354236771,-37.6286936852787
strict_recursive_7day,2022-03-01,2022-03-28,store,ridge_no_event,去节假日活动Ridge,去除节假日和活动日，保留历史、日历、天气和门店/商品/类别,10.009001964737445,15.835139139503621,0.38762386585428554,38.76238658542855,5061.0,4899.825211603117,-161.17478839688283,-0.03184643121851074,196,-37.92147394713901,-37.58375409005
strict_recursive_7day,2022-03-01,2022-03-28,store,ridge_history_id_category,仅历史与层级Ridge,仅使用历史滞后/滚动特征和门店/商品/类别,10.019669061832724,15.655058497006927,0.3880369761152369,38.80369761152369,5061.0,5127.57185572086,66.57185572086019,0.013153893641742775,196,-37.880162921043876,-37.54244306395486
strict_recursive_7day,2022-03-01,2022-03-28,store,ridge_no_activity,去活动日Ridge,去除活动日，保留历史、日历、节假日、天气和门店/商品/类别,10.046097483133016,15.829474330063105,0.38906048344083605,38.90604834408361,5061.0,4938.967999952361,-122.03200004763858,-0.024112230793842834,196,-37.777812188483956,-37.44009233139494
strict_recursive_7day,2022-03-01,2022-03-28,store,ridge_no_history,无销量历史Ridge,不使用 lag/rolling，仅使用日历、外部变量和门店/商品/类别,12.379922249056197,18.379881925514976,0.4794437385526604,47.94437385526604,5061.0,3605.4063088686144,-1455.5936911313856,-0.287609897477057,196,-28.73948667730152,-28.401766820212508
strict_recursive_7day,2022-03-01,2022-03-28,store_product,q1_store_product_exp_smoothing,问题一门店-商品简单指数平滑,仅使用该门店-商品自身历史销量，不使用外部变量,1.8157322272490461,3.772464167389725,0.7634614067547856,76.34614067547855,5061.0,4732.861663534108,-328.1383364658923,-0.06483666004068213,2128,-0.337719857089013,0.0
strict_recursive_7day,2022-03-01,2022-03-28,store_product,ridge_full_external,完整综合Ridge,历史滞后 + 日历 + 节假日/活动日 + 天气 + 门店/商品/类别,1.8237641830607354,3.702480935647709,0.7668386053256757,76.68386053256756,5061.0,5018.373403211319,-42.62659678868113,-0.008422564076008917,2128,0.0,0.337719857089013
strict_recursive_7day,2022-03-01,2022-03-28,store_product,ridge_no_event,去节假日活动Ridge,去除节假日和活动日，保留历史、日历、天气和门店/商品/类别,1.8302773951313753,3.7478664500757577,0.7695772173166502,76.95772173166502,5061.0,4899.825211603117,-161.17478839688283,-0.03184643121851074,2128,0.2738611990974533,0.6115810561864663
strict_recursive_7day,2022-03-01,2022-03-28,store_product,ridge_no_activity,去活动日Ridge,去除活动日，保留历史、日历、节假日、天气和门店/商品/类别,1.8365223696988016,3.7478232363249884,0.7722030434141572,77.22030434141573,5061.0,4938.967999952361,-122.03200004763858,-0.024112230793842834,2128,0.536443808848162,0.874163665937175
strict_recursive_7day,2022-03-01,2022-03-28,store_product,ridge_no_weather,去天气Ridge,去除天气、温度、风力，保留历史、日历、节假日/活动日和门店/商品/类别,1.8485309128918133,3.6975877326345032,0.7772522787262949,77.72522787262949,5061.0,5186.9449431788,125.9449431787998,0.024885386915392178,2128,1.0413673400619246,1.3790871971509375
strict_recursive_7day,2022-03-01,2022-03-28,store_product,ridge_history_calendar,历史日历Ridge,历史滞后/滚动 + 星期/月/周末 + 门店/商品/类别,1.8594888785830466,3.739468881198228,0.7818597774401744,78.18597774401745,5061.0,5110.880845818776,49.880845818775924,0.009855926856110635,2128,1.5021172114498853,1.8398370685388983
strict_recursive_7day,2022-03-01,2022-03-28,store_product,ridge_history_id_category,仅历史与层级Ridge,仅使用历史滞后/滚动特征和门店/商品/类别,1.8667087922872934,3.743241513676988,0.7848955364527486,78.48955364527485,5061.0,5127.57185572086,66.57185572086019,0.013153893641742775,2128,1.8056931127072886,2.1434129697963016
strict_recursive_7day,2022-03-01,2022-03-28,store_product,ridge_no_history,无销量历史Ridge,不使用 lag/rolling，仅使用日历、外部变量和门店/商品/类别,2.009317727766684,4.252404206576045,0.8448583530305284,84.48583530305284,5061.0,3605.406308868615,-1455.5936911313852,-0.28760989747705695,2128,7.801974770485273,8.139694627574286
