method,method_label,model,model_label,category,MAE,RMSE,WAPE,actual_sum,prediction_sum,n,WAPE_pct
category_direct,类别聚合后直接预测,same_weekday_mean_8,同星期均值(近8周),包装散称,18.108870967741936,28.766886695666084,0.3690828402366864,1521.0,1412.875,31,36.90828402366864
product_sum,单品预测后按类别加总,same_weekday_mean_8,同星期均值(近8周),包装散称,18.108870967741936,28.766886695666084,0.3690828402366864,1521.0,1412.875,31,36.90828402366864
category_direct,类别聚合后直接预测,exp_smoothing,简单指数平滑,包装散称,18.366736134070354,27.351390397914347,0.3743384747903885,1521.0,1342.9530454092385,31,37.43384747903885
product_sum,单品预测后按类别加总,exp_smoothing,简单指数平滑,包装散称,18.366736134070354,27.351390397914347,0.3743384747903885,1521.0,1342.9530454092385,31,37.43384747903885
category_direct,类别聚合后直接预测,moving_average_7,移动平均(7日),包装散称,19.870967741935484,28.346836163388602,0.4049967126890204,1521.0,1397.8571428571427,31,40.499671268902034
product_sum,单品预测后按类别加总,moving_average_7,移动平均(7日),包装散称,19.870967741935484,28.346836163388602,0.4049967126890204,1521.0,1397.8571428571427,31,40.499671268902034
category_direct,类别聚合后直接预测,exp_smoothing,简单指数平滑,包装海苔,4.398965107956369,6.1343512046734805,0.4288299319076963,318.0,310.51290705428966,31,42.88299319076963
product_sum,单品预测后按类别加总,exp_smoothing,简单指数平滑,包装海苔,4.538974253999024,6.258546548261033,0.4424786222451879,318.0,307.2086029677924,31,44.24786222451879
category_direct,类别聚合后直接预测,moving_average_7,移动平均(7日),包装海苔,4.8341013824884795,6.491955826578474,0.47124887690925427,318.0,316.14285714285717,31,47.124887690925426
product_sum,单品预测后按类别加总,moving_average_7,移动平均(7日),包装海苔,4.8341013824884795,6.491955826578474,0.47124887690925427,318.0,316.1428571428572,31,47.124887690925426
category_direct,类别聚合后直接预测,same_weekday_mean_8,同星期均值(近8周),包装海苔,5.362903225806452,6.701137361335303,0.5227987421383647,318.0,354.75,31,52.27987421383647
product_sum,单品预测后按类别加总,same_weekday_mean_8,同星期均值(近8周),包装海苔,5.362903225806452,6.701137361335303,0.5227987421383647,318.0,354.75,31,52.27987421383647
category_direct,类别聚合后直接预测,exp_smoothing,简单指数平滑,碳酸饮料,12.980583178617376,18.383442927303566,0.32166113392257284,1251.0,1207.6093341510698,31,32.16611339225729
product_sum,单品预测后按类别加总,exp_smoothing,简单指数平滑,碳酸饮料,12.980583178617376,18.383442927303566,0.32166113392257284,1251.0,1207.6093341510698,31,32.16611339225729
category_direct,类别聚合后直接预测,same_weekday_mean_8,同星期均值(近8周),碳酸饮料,13.241935483870968,17.492020069992837,0.3281374900079936,1251.0,1127.5,31,32.813749000799355
product_sum,单品预测后按类别加总,same_weekday_mean_8,同星期均值(近8周),碳酸饮料,13.241935483870968,17.492020069992837,0.3281374900079936,1251.0,1127.5,31,32.813749000799355
category_direct,类别聚合后直接预测,moving_average_7,移动平均(7日),碳酸饮料,13.294930875576036,17.483877648189292,0.32945072513417833,1251.0,1258.8571428571431,31,32.945072513417834
product_sum,单品预测后按类别加总,moving_average_7,移动平均(7日),碳酸饮料,13.294930875576036,17.483877648189292,0.32945072513417833,1251.0,1258.8571428571431,31,32.945072513417834
category_direct,类别聚合后直接预测,same_weekday_mean_8,同星期均值(近8周),速食类,4.846774193548387,6.313308396017559,0.4208683473389356,357.0,337.5,31,42.08683473389356
product_sum,单品预测后按类别加总,same_weekday_mean_8,同星期均值(近8周),速食类,4.846774193548387,6.313308396017559,0.4208683473389356,357.0,337.5,31,42.08683473389356
category_direct,类别聚合后直接预测,moving_average_7,移动平均(7日),速食类,5.050691244239632,7.162829220983814,0.43857543017206885,357.0,343.8571428571428,31,43.857543017206886
product_sum,单品预测后按类别加总,moving_average_7,移动平均(7日),速食类,5.050691244239632,7.162829220983814,0.43857543017206885,357.0,343.8571428571428,31,43.857543017206886
category_direct,类别聚合后直接预测,exp_smoothing,简单指数平滑,速食类,5.099783058889255,6.97457885734152,0.44283830483352077,357.0,342.18415184798374,31,44.28383048335208
product_sum,单品预测后按类别加总,exp_smoothing,简单指数平滑,速食类,5.1258470247364025,7.124820207910818,0.44510156237206855,357.0,347.2571370684576,31,44.51015623720686
