window_start,store_id,store_name,product_id,product_name,category,history_days,history_total_sales,history_average_sales,history_zero_sales_ratio,history_nonzero_sales_ratio,recent28_mean,product_history_mean,category_history_mean,hierarchy_shrink_target,demand_class,is_low_volume
2022-04-01,178,C地五乡镇店,12001131,旺仔牛奶,乳类饮品,730,1645.0,2.2534246575342465,0.5684931506849316,0.4315068493150685,4.0,1.3436399217221136,1.0371232876712329,2.6105166340508807,intermittent,0
2022-04-01,276,A地双桥路店,11000405,百事可乐330ml,碳酸饮料,730,45.0,0.06164383561643835,0.9616438356164384,0.038356164383561646,0.17857142857142858,1.7604696673189824,2.0853228962818005,1.034491193737769,very_sparse,1
2022-04-01,276,A地双桥路店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,730,44.0,0.06027397260273973,0.9561643835616438,0.043835616438356165,0.2857142857142857,1.030724070450098,0.7337573385518591,0.598825831702544,very_sparse,1
2022-04-01,276,A地双桥路店,11002170,三养辣火鸡味拌面,速食类,730,19.0,0.026027397260273973,0.9739726027397261,0.026027397260273973,0.10714285714285714,0.33091976516634053,0.411839530332681,0.23521526418786692,very_sparse,1
2022-04-01,276,A地双桥路店,11002561,乡吧哥蜜汁鸡翅,包装散称,730,251.0,0.34383561643835614,0.9013698630136986,0.09863013698630137,0.2857142857142857,3.6587084148727986,3.6587084148727986,1.972211350293542,very_sparse,1
2022-04-01,276,A地双桥路店,11002605,老板仔香脆海苔卷（原味）,包装海苔,730,36.0,0.049315068493150684,0.9575342465753425,0.04246575342465753,0.14285714285714285,0.43679060665362035,0.7337573385518591,0.34921722113502934,very_sparse,1
2022-04-01,276,A地双桥路店,11005780,大丰古法瓜子,包装坚果,730,42.0,0.057534246575342465,0.9493150684931507,0.050684931506849315,0.03571428571428571,0.7960861056751468,0.7960861056751468,0.41590019569471626,very_sparse,1
2022-04-01,276,A地双桥路店,11008516,李子柒螺蛳粉335g,速食类,730,8.0,0.010958904109589041,0.9931506849315068,0.00684931506849315,0.0,0.49275929549902153,0.411839530332681,0.23019569471624265,very_sparse,1
2022-04-01,276,A地双桥路店,12000134,百事可乐600ml,碳酸饮料,730,135.0,0.18493150684931506,0.8794520547945206,0.12054794520547946,0.5,2.4101761252446186,2.0853228962818005,1.3901174168297457,very_sparse,1
2022-04-01,276,A地双桥路店,12000292,红牛,功能饮料,730,158.0,0.21643835616438356,0.9164383561643835,0.08356164383561644,1.2142857142857142,6.089823874755382,6.089823874755382,3.652054794520548,very_sparse,1
2022-04-01,276,A地双桥路店,12001131,旺仔牛奶,乳类饮品,730,51.0,0.06986301369863014,0.9684931506849315,0.031506849315068496,0.25,1.3436399217221136,1.0371232876712329,0.7355166340508806,very_sparse,1
