level,model,model_label,daily_MAE,daily_RMSE,daily_WAPE,daily_actual_sum,daily_prediction_sum,daily_n,daily_WAPE_pct,recursive_MAE,recursive_RMSE,recursive_WAPE,recursive_actual_sum,recursive_prediction_sum,recursive_n,recursive_WAPE_pct,WAPE_change_pct_points,WAPE_relative_change_pct,recursive_result
store,ridge,综合Ridge回归,8.948512499244586,14.439282847312594,0.3465537344105787,5061.0,4641.865608309379,196,34.65537344105787,9.52705500230349,14.447078843483748,0.3689592532012417,5061.0,5018.373404515086,196,36.89592532012417,2.2405518790663024,6.465236575439152,严格递推误差更高
store,q1_store_product_exp_smoothing,问题一门店-商品简单指数平滑,10.11954328256597,16.269922058577702,0.39190485741610953,5061.0,4917.650592000413,196,39.190485741610956,9.81017115318249,15.963126120538083,0.37992364078715035,5061.0,4732.861663534108,196,37.992364078715035,-1.1981216628959217,-3.0571748224692157,严格递推误差未升高
store,baseline_moving_average_7,Baseline移动平均(7日),9.836005830903789,15.858104795764616,0.3809241538939227,5061.0,4953.428571428571,196,38.09241538939227,9.978367274578453,15.773037641756574,0.38643746014964964,5061.0,4900.266964809367,196,38.64374601496496,0.5513306255726889,1.4473501350251066,严格递推误差更高
store,baseline_rolling_mean_14,Baseline滚动均值(14日),9.927842565597667,16.01855897295943,0.3844807632596607,5061.0,4845.5714285714275,196,38.44807632596607,10.148811326219006,16.307032049048086,0.39303833628510676,5061.0,4788.147203047154,196,39.303833628510674,0.8557573025446032,2.225748032981999,严格递推误差更高
store,random_forest,综合随机森林,8.995173051273811,13.878293402925221,0.34836078206869536,5061.0,5086.392512692561,196,34.83607820686954,11.283905171344928,17.909855571042392,0.4369977106468299,5061.0,5788.575991847977,196,43.69977106468299,8.863692857813454,25.44400321177821,严格递推误差更高
store_product,q1_store_product_exp_smoothing,问题一门店-商品简单指数平滑,1.798773835245611,3.8183962169442656,0.7563309072125391,5061.0,4917.650592000412,2128,75.63309072125392,1.8157322272490461,3.772464167389725,0.7634614067547856,5061.0,4732.861663534108,2128,76.34614067547855,0.7130499542246298,0.9427751099748012,严格递推误差更高
store_product,ridge,综合Ridge回归,1.7364487610285693,3.6693867701314185,0.7301250668778494,5061.0,4641.865608309379,2128,73.01250668778493,1.823764183245179,3.702480935606589,0.7668386054032288,5061.0,5018.373404515085,2128,76.68386054032288,3.6713538525379477,5.028390366375629,严格递推误差更高
store_product,baseline_rolling_mean_14,Baseline滚动均值(14日),1.8024301825993554,3.758060617203756,0.7578682925452338,5061.0,4845.571428571429,2128,75.78682925452338,1.8469090790815068,3.819260102850121,0.7765703458378673,5061.0,4788.147203047154,2128,77.65703458378674,1.8702053292633565,2.4677181347466495,严格递推误差更高
store_product,baseline_moving_average_7,Baseline移动平均(7日),1.8115601503759398,3.7674521012584843,0.7617071724955542,5061.0,4953.428571428572,2128,76.17071724955542,1.8652681056621856,3.7969509585657097,0.7842897705688858,5061.0,4900.266964809366,2128,78.42897705688858,2.258259807333161,2.9647348598996466,严格递推误差更高
store_product,random_forest,综合随机森林,1.7633858787090468,3.543319141699576,0.7414513238278703,5061.0,5086.392512692561,2128,74.14513238278703,2.0232912145090567,4.907789167647516,0.850733788673241,5061.0,5788.575991847978,2128,85.0733788673241,10.92824648453707,14.7389938264836,严格递推误差更高
